artist_id,artist_latitude,artist_longitude,artist_location,artist_name,song_id,title,duration,year
ARD7TVE1187B99BFB1,,,California - LA,Casual,SOMZWCG12A8C13C480,I Didn't Mean To,218.93179,0
ARMJAGH1187FB546F3,35.14968,-90.04892,"Memphis, TN",The Box Tops,SOCIWDW12A8C13D406,Soul Deep,148.03546,1969
ARKRRTF1187B9984DA,,,,Sonora Santanera,SOXVLOJ12AB0189215,Amor De Cabaret,177.47546,0
AR7G5I41187FB4CE6C,,,"London, England",Adam Ant,SONHOTT12A8C13493C,Something Girls,233.40363,1982
ARXR32B1187FB57099,,,,Gob,SOFSOCN12A8C143F5D,Face the Ashes,209.60608,2007
ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),267.7024,0
ARD0S291187B9B7BF5,,,Ohio,Rated R,SOMJBYD12A6D4F8557,Keepin It Real (Skit),114.78159,0
AR10USD1187B99F3F1,,,"Burlington, Ontario, Canada",Tweeterfriendly Music,SOHKNRJ12A6701D1F8,Drop of Rain,189.57016,0
AR8ZCNI1187B9A069B,,,,Planet P Project,SOIAZJW12AB01853F1,Pink World,269.81832,1984
ARNTLGG11E2835DDB9,,,,Clp,SOUDSGM12AC9618304,Insatiable (Instrumental Version),266.39628,0
ARGSJW91187B9B1D6B,35.21962,-80.01955,North Carolina,JennyAnyKind,SOQHXMF12AB0182363,Young Boy Blues,218.77506,0
ARC43071187B990240,,,"Wisner, LA",Wayne Watson,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),245.21098,0
ARL7K851187B99ACD2,,,,Andy Andy,SOMUYGI12AB0188633,La Culpa,226.35057,0
ARHHO3O1187B989413,,,,Bob Azzam,SORAMLE12AB017C8B0,Auguri Cha Cha,191.84281,0
ARIK43K1187B9AE54C,,,"Beverly Hills, CA",Lionel Richie,SOBONFF12A6D4F84D8,Tonight Will Be Alright,307.3824,1986
ARD842G1187B997376,43.64856,-79.38533,"Toronto, Ontario, Canada",Blue Rodeo,SOHUOAP12A8AE488E9,Floating,491.12771,1987
ARIG6O41187B988BDD,37.16793,-95.84502,United States,Richard Souther,SOUQQEA12A8C134B1B,High Tide,228.5971,0
AR1ZHYZ1187FB3C717,,,,Faiz Ali Faiz,SOILPQQ12AB017E82A,Sohna Nee Sohna Data,599.24853,0
ARYKCQI1187FB3B18F,,,,Tesla,SOXLBJT12A8C140925,Caught In A Dream,290.29832,2004
ARNPAGP1241B9C7FD4,,,,lextrical,SOZVMJI12AB01808AF,Synthetic Dream,165.69424,0
ARQGYP71187FB44566,34.31109,-94.02978,"Mineola, AR",Jimmy Wakely,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,151.84934,0
ARI3BMM1187FB4255E,38.8991,-77.029,Washington,Alice Stuart,SOBEBDG12A58A76D60,Kassie Jones,220.78649,0
AR5KOSW1187FB35FF4,49.80388,15.47491,Dubai UAE,Elena,SOZCTXZ12AB0182364,Setanta matins,269.58322,0
ARMAC4T1187FB3FA4C,40.82624,-74.47995,"Morris Plains, NJ",The Dillinger Escape Plan,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,207.77751,2004
AR47JEX1187B995D81,37.83721,-94.35868,"Nevada, MO",SUE THOMPSON,SOBLGCN12AB0183212,James (Hold The Ladder Steady),124.86485,1985
ARGIWFO1187B9B55B7,,,,Five Bolt Main,SOPSWQW12A6D4F8781,Made Like This (Live),225.09669,0
ARNTLGG11E2835DDB9,,,,Clp,SOZQDIU12A58A7BCF6,Superconfidential,338.31138,0
ARDNS031187B9924F0,32.67828,-83.22295,Georgia,Tim Wilson,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),186.48771,2005
AROUOZZ1187B9ABE51,40.79195,-73.94512,"New York, NY [Spanish Harlem]",Willie Bobo,SOBZBAZ12A6D4F8742,Spanish Grease,168.25424,1997
ARH4Z031187B9A71F2,40.73197,-74.17418,"Newark, NJ",Faye Adams,SOVYKGO12AB0187199,Crazy Mixed Up World,156.39465,1961
ARB29H41187B98F0EF,41.88415,-87.63241,Chicago,Terry Callier,SOGNCJP12A58A80271,Do You Finally Need A Friend,342.56934,1972
AR1Y2PT1187FB5B9CE,27.94017,-82.32547,Brandon,John Wesley,SOLLHMX12AB01846DC,The Emperor Falls,484.62322,0
ARAJPHH1187FB5566A,40.7038,-73.83168,"Queens, NY",The Shangri-Las,SOYTPEP12AB0180E7B,Twist and Shout,164.80608,1964
AR0RCMP1187FB3F427,30.08615,-94.10158,"Beaumont, TX",Billie Jo Spears,SOGXHEG12AB018653E,It Makes No Difference Now,133.32853,1992
AREBBGV1187FB523D2,,,"Houston, TX",Mike Jones (Featuring CJ_ Mello & Lil' Bran),SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),173.66159,0
ARGUVEV1187B98BA17,,,,Sierra Maestra,SOGOSOV12AF72A285E,¿Dónde va Chichi?,313.12934,1997
ARD7TVE1187B99BFB1,,,California - LA,Casual,SOQLGFP12A58A7800E,OAKtown,259.44771,0
AR3JMC51187B9AE49D,28.53823,-81.37739,"Orlando, FL",Backstreet Boys,SOPVXLX12A8C1402D5,Larger Than Life,236.25098,1999
ARPBNLO1187FB3D52F,40.71455,-74.00712,"New York, NY",Tiny Tim,SOAOIBZ12AB01815BE,I Hold Your Hand In Mine [Live At Royal Albert Hall],43.36281,2000
AR9AWNF1187B9AB0B4,,,"Seattle, Washington USA",Kenny G featuring Daryl Hall,SOZHPGD12A8C1394FE,Baby Come To Me,236.93016,0
AROGWRA122988FEE45,,,,Christos Dantis,SOSLAVG12A8C13397F,Den Pai Alo,243.82649,0
ARMBR4Y1187B9990EB,37.77916,-122.42005,California - SF,David Martin,SOTTDKS12AB018D69B,It Wont Be Christmas,241.47546,0
